,Unnamed: 0,putcode,filter_nummer,datum_plaatsing,x_coordinaat,y_coordinaat,maaiveld_NAP,filter_referentiepunt_NAP,filter_bovenkant_ref,filter_onderkant_ref,CellID,Layno,Sensitivity
0,10606,B57E0064_1,1.0,1972-11-17,169043.25,366961.19,28.05,28.83,12.2,14.2,265.0,5.0,1.0
2,10608,B57E0064_3,3.0,1972-11-17,169043.25,366961.19,28.05,28.85,154.7,156.7,265.0,17.0,1.0
3,10609,B57E0064_4,4.0,1972-11-17,169043.25,366961.19,28.05,28.83,192.2,194.2,265.0,19.0,1.0
4,10610,B57E0064_5,5.0,1972-11-17,169043.25,366961.19,28.05,28.85,228.75,230.75,265.0,19.0,1.0
5,10611,B57E0064_6,6.0,1972-11-17,169043.25,366961.19,28.05,28.83,241.45,243.45,265.0,21.0,1.0
7,10616,B57E0067_2,2.0,1971-04-14,169716.9,367784.8,28.38,29.11,30.18,31.18,69.0,5.0,1.0
9,10618,B57E0068_2,2.0,1971-08-27,168785.51,367153.48,28.92,29.58,23.61,24.61,113.0,5.0,1.0
10,10631,B57E0081_1,1.0,1981-10-27,167779.3,363592.4,33.2,33.95,27.79,29.79,722.0,5.0,1.0
12,10633,B57E0081_3,3.0,1981-10-27,167779.3,363592.4,33.2,33.95,172.78,174.78,722.0,19.0,1.0
13,10634,B57E0081_4,4.0,1981-10-27,167779.3,363592.4,33.2,33.95,233.51,235.51,722.0,22.0,1.0
14,10635,B57E0081_5,5.0,1981-10-27,167779.3,363592.4,33.2,33.95,293.82,295.82,722.0,23.0,1.0
15,10636,B57E0082_1,1.0,1987-07-01,168867.99,366750.84,27.89,28.81,6.8,7.8,448.0,4.0,1.0
17,10638,B57E0082_3,3.0,1987-07-01,168867.99,366750.84,27.89,28.81,83.79,85.79,448.0,10.0,1.0
18,10639,B57E0082_4,4.0,1987-07-01,168867.99,366750.84,27.89,28.81,129.53,131.53,448.0,14.0,1.0
19,10640,B57E0082_5,5.0,1987-07-01,168867.99,366750.84,27.89,28.82,191.79,193.79,448.0,19.0,1.0
20,10641,B57E0082_6,6.0,1987-07-01,168867.99,366750.84,27.89,28.82,223.54,225.54,448.0,19.0,1.0
21,10642,B57E0082_7,7.0,1987-07-01,168867.99,366750.84,27.89,28.81,252.53,254.53,448.0,21.0,1.0
22,10643,B57E0082_8,8.0,1987-07-01,168867.99,366750.84,27.89,28.82,267.54,269.54,448.0,22.0,1.0
23,10644,B57E0082_9,9.0,1987-07-01,168867.99,366750.84,27.89,28.82,294.54,296.54,448.0,23.0,1.0
24,10645,B57E0082_10,10.0,1987-07-01,168867.99,366750.84,27.89,28.81,317.54,319.54,448.0,23.0,1.0
25,10646,B57E0082_11,11.0,1987-07-01,168867.99,366750.84,27.89,28.81,354.54,356.54,448.0,23.0,1.0
26,10647,B57E0082_12,12.0,1987-07-01,168867.99,366750.84,27.89,28.81,394.54,396.54,448.0,23.0,1.0
27,10687,B57E0105_1,1.0,1992-10-02,169607.4,365708.5,30.33,30.9,8.47,9.47,690.0,4.0,1.0
28,10688,B57E0105_2,2.0,1992-10-02,169607.4,365708.5,30.33,30.91,20.08,21.08,690.0,5.0,1.0
29,10689,B57E0105_3,3.0,1992-10-02,169607.4,365708.5,30.33,30.91,39.63,40.63,690.0,7.0,1.0
30,10690,B57E0105_4,4.0,1992-10-02,169607.4,365708.5,30.33,30.91,50.58,51.58,690.0,7.0,1.0
31,10691,B57E0105_5,5.0,1992-10-02,169607.4,365708.5,30.33,30.9,57.57,58.57,690.0,10.0,1.0
35,10695,B57E0105_54,54.0,1992-10-02,169607.4,365708.5,30.33,30.5,9.9,10.0,690.0,4.0,1.0
36,10696,B57E0105_55,55.0,1992-10-02,169607.4,365708.5,30.33,30.5,10.9,11.0,690.0,4.0,1.0
37,10697,B57E0105_56,56.0,1992-10-02,169607.4,365708.5,30.33,30.5,11.9,12.0,690.0,4.0,1.0
38,10698,B57E0105_57,57.0,1992-10-02,169607.4,365708.5,30.33,30.5,12.9,13.0,690.0,5.0,1.0
39,10699,B57E0105_58,58.0,1992-10-02,169607.4,365708.5,30.33,30.5,14.9,15.0,690.0,5.0,1.0
40,10700,B57E0105_59,59.0,1992-10-02,169607.4,365708.5,30.33,30.5,15.9,16.0,690.0,5.0,1.0
41,10701,B57E0105_60,60.0,1992-10-02,169607.4,365708.5,30.33,30.5,16.9,17.0,690.0,5.0,1.0
42,10702,B57E0105_61,61.0,1992-10-02,169607.4,365708.5,30.33,30.5,21.9,22.0,690.0,5.0,1.0
43,10703,B57E0105_62,62.0,1992-10-02,169607.4,365708.5,30.33,30.5,22.9,23.0,690.0,5.0,1.0
44,10704,B57E0105_63,63.0,1992-10-02,169607.4,365708.5,30.33,30.5,23.9,24.0,690.0,5.0,1.0
45,10705,B57E0105_64,64.0,1992-10-02,169607.4,365708.5,30.33,30.5,24.9,25.0,690.0,5.0,1.0
46,10706,B57E0105_65,65.0,1992-10-02,169607.4,365708.5,30.33,30.5,26.9,27.0,690.0,5.0,1.0
47,10707,B57E0105_66,66.0,1992-10-02,169607.4,365708.5,30.33,30.5,27.9,28.0,690.0,5.0,1.0
48,10708,B57E0105_67,67.0,1992-10-02,169607.4,365708.5,30.33,30.5,28.9,29.0,690.0,5.0,1.0
49,10709,B57E0105_68,68.0,1992-10-02,169607.4,365708.5,30.33,30.5,29.9,30.0,690.0,5.0,1.0
